S.No	RIO	State	District	Assembly Constituency	Mandal	Gram Panchayat
211	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Babjipet
212	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Boregaon
213	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Chincholi
214	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Devulnaik Thanda
215	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Dhaba B
216	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Dhaba-K
217	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Dharampuri
218	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Dubarpet (A)
219	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Echoda
220	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Girjam
221	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Gundala
222	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Gundivagu
223	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Heerapur
224	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Jalda
225	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Jamidi
226	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Junni
227	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Kamagiri
228	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Keshavapatnam
229	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Kokasmannur
230	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Madapur
231	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Malyal
232	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Mankapur
233	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Mukra - B
234	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Mukra (K)
235	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Narsapur
236	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Navegaon
237	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Salyada
238	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Sathnumber
239	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Sirichalma
240	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Talamadri
241	Adilabad	Telangana	Adilabad	Boath (ST)	Echoda	Yellammaguda
242	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Anjee
243	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Bikkutanda
244	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Dasnapur
245	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Devapur
246	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Dhanora B
247	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Dodanda
248	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Dongargaon
249	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Eshwarnagar
250	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Gattepally
251	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Ginnera
252	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Gourapur
253	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Harkapur
254	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Harkapur Tanda
255	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Heerapur
256	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Indervelly B
257	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Keslapur
258	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Mallapur
259	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Markaguda
260	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Mendapally
261	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Muthnur
262	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Pipri
263	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Pittabongaram
264	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Samakka
265	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Shankarguda
266	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Tejapur
267	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Tummaguda
268	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Wadagaon
269	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Walgonda
270	Adilabad	Telangana	Adilabad	Khanapur (ST)	Indervelly	Yemaikunta
271	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Ada
272	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Akurla
273	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Bahadurpur
274	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Belgaon
275	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Belluri
276	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Deepaiguda
277	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Jainad
278	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Kamta
279	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Karanji-K
280	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Khapri
281	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Kowta
282	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Kura
283	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Laxmipur
284	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Makoda
285	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Nirala
286	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Pippalgoan
287	Adilabad	Telangana	Adilabad	Adilabad	Jainath	Sangivi-K
288	Adilabad	Telangana	Adilabad	Adilabad	Mavala	Battisawargaon
289	Adilabad	Telangana	Adilabad	Adilabad	Mavala	Mavala
290	Adilabad	Telangana	Adilabad	Adilabad	Mavala	Waghapur
291	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Babejhari
292	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Balanpur
293	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Bethalguda
294	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Bheempur
295	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Chorgaon
296	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Empally G
297	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Gangapur
298	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Gundala G
299	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Gunjala
300	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Jamda
301	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Khairdatwa
302	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Khampur
303	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Kottapalli H
304	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Mahagaon
305	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Malangi
306	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Malepur
307	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Mankapur
308	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Marapaguda
309	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Nagalkonda
310	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Narnoor
311	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Sungapur Kolamguda
312	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Tadihadpanur
313	Adilabad	Telangana	Adilabad	Asifabad (ST)	Narnoor	Umri
314	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Arepally
315	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Bandham Regadi
316	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Bondidi
